symbol,entry_date,exit_date,entry,exit,pnl,r_multiple,fees,holding_days,mae,mfe,reason
AVAX,2021-07-14,2021-08-28,14.05323600296217,22.113130895286567,2164.563850779067,4.329127701558134,7.381825307192422,45,-0.15927174597683955,9.258948446596111,STOP
SOL,2021-09-02,2021-10-11,8.547221833063057,10.959900047470898,1538.934190990382,3.0126574870679024,9.107663832443361,39,-0.3258880195759604,7.401222762013522,STOP
AVAX,2021-09-14,2021-11-10,29.57366796437954,41.48174215872106,1785.4196014698418,3.4497624433129896,7.923236776461948,57,-0.17774295872851822,7.420811799112811,STOP
BNB,2021-09-26,2021-11-12,120.02919971526917,151.93600625427368,1207.2156530384705,2.2910126332978074,6.830710697292598,47,-0.1410122867252807,4.883864623459544,STOP
ETH,2021-09-12,2021-12-10,802.9029389788669,2173.830069083363,5698.361562053644,11.04333245433527,9.095559838097733,89,-0.04009194650076819,24.289130651953204,STOP
BNB,2021-11-26,2021-12-29,176.99502486511997,210.3466314108445,1249.059540255113,2.2298007888546203,9.659697475144025,33,-0.10974511746515331,5.217877135198744,STOP
ETH,2022-07-26,2022-08-02,977.3184400479394,881.5745920263922,-587.5462691279148,-1.0000000000000002,5.648848893209772,7,-1.2283477560169727,0.03245159568009219,STOP
AVAX,2022-06-29,2022-10-18,11.514636927100744,40.49625090310416,9137.248549789105,16.080539891847582,11.512916393847455,111,-0.11943162488532925,37.09331008905832,STOP
BNB,2022-08-08,2022-11-27,54.37844093032395,146.70875967269814,6619.872088375356,11.141146710644552,10.611999367556635,111,-0.14870355307051156,24.933345414128613,STOP
ETH,2022-08-22,2022-12-07,1186.8563528753973,2398.87610669964,4692.2016952651375,7.658886928680642,10.684038133750224,107,-0.4998616390646209,17.908327578589798,STOP
SOL,2022-07-15,2023-01-16,9.886709233907492,56.63472111135871,16165.622721686323,27.948866738725815,14.754442254220448,185,-0.11273137627723975,76.20232669160981,STOP
AVAX,2023-06-10,2023-06-19,18.83280120963413,20.169863613083372,656.7342463718501,0.8775707408797806,9.413464474032995,9,-0.6952102365413051,1.002745588066892,END_OF_TEST
